,event,VC,term,N,estimate,conf.low,conf.high,p.value,risk,,,,,,,
1,Thrombocytopenia (excluding ITP),AZ,1-BASELINE_CONTROL,105,1,NA,NA,NA,"1(NA,NA) - p-value=NA",,,,,,,
2,Thrombocytopenia (excluding ITP),AZ,2-CLEARANCE_FIRST,<10,0.92,0.4,2.1,0.84,"0.92(0.4,2.1) - p-value=0.84",,,,,,,
3,Thrombocytopenia (excluding ITP),AZ,3b-RISK_FIRST 8-14D,<10,0.66,0.16,2.67,0.56,"0.66(0.16,2.67) - p-value=0.56",,,,,,,
4,Thrombocytopenia (excluding ITP),AZ,3c-RISK_FIRST 15-21D,<10,0.98,0.31,3.11,0.98,"0.98(0.31,3.11) - p-value=0.98",,,,,,,
5,Thrombocytopenia (excluding ITP),AZ,3d-RISK_FIRST 22-28D,<10,0.33,0.05,2.36,0.27,"0.33(0.05,2.36) - p-value=0.27",,,,,,,
6,Thrombocytopenia (excluding ITP),AZ,5-CLEARANCE_SECOND,<10,0.54,0.17,1.69,0.29,"0.54(0.17,1.69) - p-value=0.29",,,,,,,
7,Thrombocytopenia (excluding ITP),AZ,6a-RISK_SECOND 1-7D,<10,0.33,0.05,2.37,0.27,"0.33(0.05,2.37) - p-value=0.27",,,,,,,
8,Thrombocytopenia (excluding ITP),AZ,6b-RISK_SECOND 8-14D,<10,0.38,0.05,2.76,0.34,"0.38(0.05,2.76) - p-value=0.34",,,,,,,
9,Thrombocytopenia (excluding ITP),AZ,6c-RISK_SECOND 15-21D,<10,1.56,0.57,4.26,0.38,"1.56(0.57,4.26) - p-value=0.38",,,,,,,
10,Thrombocytopenia (excluding ITP),AZ,6d-RISK_SECOND 22-28D,<10,0.39,0.05,2.78,0.34,"0.39(0.05,2.78) - p-value=0.34",,,,,,,
11,Thrombocytopenia (excluding ITP),BOOSTER,11-CLEARANCE_BOOSTER,<10,2099222005,0,Inf,1,"2099222005.41(0,Inf) - p-value=1",,,,,,,
12,Thrombocytopenia (excluding ITP),BOOSTER,12a-RISK_BOOSTER 1-7D,<10,2558739184,0,Inf,1,"2558739184.25(0,Inf) - p-value=1",,,,36136,23140,64.03586451,64
13,Thrombocytopenia (excluding ITP),PB,1-BASELINE_CONTROL,39,1,NA,NA,NA,"1(NA,NA) - p-value=NA",,,,36136,23209,64.22680983,64.2
14,Thrombocytopenia (excluding ITP),PB,11-CLEARANCE_BOOSTER,<10,1.15,0.24,5.57,0.86,"1.15(0.24,5.57) - p-value=0.86",,,,36136,1895,5.244077928,5.2
15,Thrombocytopenia (excluding ITP),PB,12a-RISK_BOOSTER 1-7D,<10,0.87,0.1,7.6,0.9,"0.87(0.1,7.6) - p-value=0.9",,,,36136,7111,19.67843702,19.7
16,Thrombocytopenia (excluding ITP),PB,12b-RISK_BOOSTER 8-14D,<10,1.04,0.12,9.12,0.97,"1.04(0.12,9.12) - p-value=0.97",,,,36136,1582,4.37790569,4.4
17,Thrombocytopenia (excluding ITP),PB,12d-RISK_BOOSTER 22-28D,<10,1,0.11,8.77,1,"1(0.11,8.77) - p-value=1",,,,36136,2339,6.472769537,6.5
18,Thrombocytopenia (excluding ITP),PB,2-CLEARANCE_FIRST,<10,0.43,0.06,3.18,0.41,"0.43(0.06,3.18) - p-value=0.41",,,,,,,
19,Thrombocytopenia (excluding ITP),PB,3a-RISK_FIRST 1-7D,<10,2.44,0.74,8.05,0.14,"2.44(0.74,8.05) - p-value=0.14",,,,,,,
20,Thrombocytopenia (excluding ITP),PB,3b-RISK_FIRST 8-14D,<10,0.93,0.13,6.84,0.94,"0.93(0.13,6.84) - p-value=0.94",,,,,,,
21,Thrombocytopenia (excluding ITP),PB,3d-RISK_FIRST 22-28D,<10,0.94,0.13,6.9,0.95,"0.94(0.13,6.9) - p-value=0.95",,,,,,,
